Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Paolo Banchero,29:56,.286,.214,.357,.286,3.5,18.9,10.0,18.4,0.0,0.0,24.1,28.1,55,133,-15.7
Desmond Bane,26:31,.672,.600,.400,.600,7.9,5.3,6.8,16.5,0.0,0.0,19.2,23.9,113,135,1.7
Jalen Suggs,25:55,.568,.545,.545,.091,0.0,21.8,9.3,42.6,1.7,2.8,30.4,25.7,85,127,-0.3
Wendell Carter Jr.,25:49,.694,.500,.500,1.000,4.0,16.4,9.3,6.4,0.0,0.0,25.8,6.1,118,134,-6.3
Tristan Da Silva,24:38,.581,.500,.556,.333,8.5,5.7,7.3,0.0,0.0,0.0,0.0,17.0,125,135,-0.2
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jevon Carter,24:59,.438,.438,.625,.000,0.0,5.7,2.4,22.8,3.6,0.0,20.0,16.2,79,127,-3.6
Jett Howard,19:06,.563,.563,.375,.000,0.0,0.0,0.0,0.0,0.0,0.0,11.1,19.1,92,136,-4.8
Jase Richardson,18:04,.000,.000,.667,.000,0.0,31.3,13.3,25.7,0.0,0.0,0.0,6.7,49,132,-8.1
Noah Penda,14:23,.500,.500,1.000,.000,0.0,29.4,12.5,24.1,3.1,0.0,40.0,14.1,70,125,-2.5
Moritz Wagner,12:00,.583,.583,.333,.000,0.0,47.1,20.0,21.1,0.0,0.0,0.0,20.3,117,130,6.7
Goga Bitadze,10:11,.475,.400,.000,.600,30.7,13.9,23.6,0.0,0.0,0.0,24.0,33.1,84,134,-14.4
Jamal Cain,8:28,.000,.000,.667,.000,0.0,16.7,7.1,0.0,0.0,0.0,66.7,43.1,0,134,-51.0
Team Totals,240,.481,.433,.463,.232,19.6,79.4,45.0,64.5,3.8,1.5,23.7,100.0,82.1,131.2,
