Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Paolo Banchero,29:56,3,14,.214,0,5,.000,3,4,.750,1,4,5,3,0,0,5,2,9,-1.8,-30
Desmond Bane,26:31,5,10,.500,2,4,.500,5,6,.833,2,1,3,2,0,0,3,1,17,11.3,-25
Jalen Suggs,25:55,5,11,.455,2,6,.333,1,1,1.000,0,4,4,5,1,1,5,2,13,7.9,-16
Wendell Carter Jr.,25:49,1,2,.500,0,1,.000,2,2,1.000,1,3,4,1,0,0,1,3,4,3.1,-23
Tristan Da Silva,24:38,4,9,.444,1,5,.200,3,3,1.000,2,1,3,0,0,0,0,1,12,8.6,-17
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jevon Carter,24:59,3,8,.375,1,5,.200,0,0,,0,1,1,3,2,0,2,3,7,3.8,-32
Jett Howard,19:06,4,8,.500,1,3,.333,0,0,,0,0,0,0,0,0,1,1,9,3.6,-21
Jase Richardson,18:04,0,3,.000,0,2,.000,0,0,,0,4,4,3,0,0,0,1,0,0.8,-22
Noah Penda,14:23,1,3,.333,1,3,.333,0,0,,0,3,3,2,1,0,2,2,3,1.8,-13
Moritz Wagner,12:00,3,6,.500,1,2,.500,0,0,,0,4,4,1,0,0,0,0,7,5.9,-7
Goga Bitadze,10:11,2,5,.400,0,0,,2,3,.667,3,1,4,0,0,0,2,3,6,2.1,-22
Jamal Cain,8:28,0,3,.000,0,2,.000,0,0,,0,1,1,0,0,0,6,1,0,-8.2,-32
Team Totals,240,31,82,.378,9,38,.237,16,19,.842,9,27,36,20,4,1,28,20,87,,
