style,tip
top:37px;left:241px;,"1st quarter, 11:43.0 remaining<br>Desmond Bane made 2-pointer from 1 ft<br>Orlando now leads 2-0"
top:62px;left:12px;,"1st quarter, 11:11.0 remaining<br>Jalen Suggs missed 3-pointer from 23 ft<br>Orlando leads 2-0"
top:31px;left:231px;,"1st quarter, 11:01.0 remaining<br>Paolo Banchero missed 2-pointer from 1 ft<br>Orlando leads 2-0"
top:34px;left:265px;,"1st quarter, 10:55.0 remaining<br>Paolo Banchero missed 2-pointer from 3 ft<br>Orlando leads 2-0"
top:143px;left:248px;,"1st quarter, 10:28.0 remaining<br>Jalen Suggs missed 2-pointer from 11 ft<br>Orlando leads 2-0"
top:144px;left:253px;,"1st quarter, 10:01.0 remaining<br>Jalen Suggs made 2-pointer from 11 ft<br>Orlando now leads 4-0"
top:144px;left:17px;,"1st quarter, 9:07.0 remaining<br>Tristan Da Silva missed 3-pointer from 25 ft<br>Orlando leads 4-2"
top:191px;left:436px;,"1st quarter, 9:01.0 remaining<br>Jalen Suggs made 3-pointer from 25 ft<br>Orlando now leads 7-2"
top:142px;left:253px;,"1st quarter, 8:29.0 remaining<br>Jalen Suggs made 2-pointer from 11 ft<br>Orlando now leads 9-4"
top:21px;left:4px;,"1st quarter, 8:03.0 remaining<br>Desmond Bane made 3-pointer from 24 ft<br>Orlando now leads 13-6"
top:141px;left:296px;,"1st quarter, 6:51.0 remaining<br>Paolo Banchero made 2-pointer from 12 ft<br>Orlando now leads 15-8"
top:268px;left:327px;,"1st quarter, 6:25.0 remaining<br>Jalen Suggs made 3-pointer from 25 ft<br>Orlando now leads 18-11"
top:285px;left:212px;,"1st quarter, 6:00.0 remaining<br>Jalen Suggs missed 3-pointer from 26 ft<br>Orlando leads 18-14"
top:33px;left:230px;,"1st quarter, 5:30.0 remaining<br>Paolo Banchero made 2-pointer from 1 ft<br>Orlando now leads 20-14"
top:38px;left:12px;,"1st quarter, 4:21.0 remaining<br>Paolo Banchero missed 3-pointer from 23 ft<br>Orlando tied 20-20"
top:64px;left:225px;,"1st quarter, 4:13.0 remaining<br>Goga Bitadze missed 2-pointer from 4 ft<br>Orlando tied 20-20"
top:37px;left:228px;,"1st quarter, 3:45.0 remaining<br>Paolo Banchero missed 2-pointer from 1 ft<br>Orlando trails 20-23"
top:285px;left:209px;,"1st quarter, 3:17.0 remaining<br>Jevon Carter missed 3-pointer from 26 ft<br>Orlando trails 20-25"
top:158px;left:373px;,"1st quarter, 2:31.0 remaining<br>Jevon Carter missed 2-pointer from 18 ft<br>Orlando trails 20-30"
top:277px;left:152px;,"1st quarter, 1:36.0 remaining<br>Noah Penda missed 3-pointer from 26 ft<br>Orlando trails 20-35"
top:255px;left:113px;,"1st quarter, 1:21.0 remaining<br>Wendell Carter Jr. missed 3-pointer from 26 ft<br>Orlando trails 20-35"
top:83px;left:198px;,"2nd quarter, 10:50.0 remaining<br>Paolo Banchero missed 2-pointer from 7 ft<br>Orlando trails 20-43"
top:183px;left:265px;,"2nd quarter, 9:42.0 remaining<br>Paolo Banchero made 2-pointer from 15 ft<br>Orlando now trails 22-45"
