style,tip
top:63px;left:-3px;,"1st quarter, 11:22.0 remaining<br>RJ Barrett missed 3-pointer from 24 ft<br>Toronto trails 0-2"
top:33px;left:7px;,"1st quarter, 10:40.0 remaining<br>Ja'Kobe Walter missed 3-pointer from 23 ft<br>Toronto trails 0-2"
top:169px;left:455px;,"1st quarter, 10:20.0 remaining<br>RJ Barrett missed 3-pointer from 26 ft<br>Toronto trails 0-2"
top:43px;left:250px;,"1st quarter, 9:50.0 remaining<br>RJ Barrett made 2-pointer from 2 ft<br>Toronto now trails 2-4"
top:42px;left:301px;,"1st quarter, 9:17.0 remaining<br>Jakob Poeltl missed 2-pointer from 6 ft<br>Toronto trails 2-4"
top:139px;left:239px;,"1st quarter, 8:37.0 remaining<br>Jamal Shead made 2-pointer from 11 ft<br>Toronto now trails 4-7"
top:124px;left:227px;,"1st quarter, 8:11.0 remaining<br>RJ Barrett made 2-pointer from 10 ft<br>Toronto now trails 6-10"
top:33px;left:245px;,"1st quarter, 7:52.0 remaining<br>Jakob Poeltl made 2-pointer from 1 ft<br>Toronto now trails 8-13"
top:98px;left:232px;,"1st quarter, 7:14.0 remaining<br>Gradey Dick missed 2-pointer from 7 ft<br>Toronto trails 8-13"
top:285px;left:293px;,"1st quarter, 6:38.0 remaining<br>Scottie Barnes made 3-pointer from 26 ft<br>Toronto now trails 11-15"
top:298px;left:234px;,"1st quarter, 6:11.0 remaining<br>Scottie Barnes made 3-pointer from 27 ft<br>Toronto now trails 14-18"
top:29px;left:257px;,"1st quarter, 5:03.0 remaining<br>Sandro Mamukelashvili made 2-pointer from 2 ft<br>Toronto now trails 18-20"
top:282px;left:96px;,"1st quarter, 4:04.0 remaining<br>Sandro Mamukelashvili made 3-pointer from 29 ft<br>Toronto now leads 23-20"
top:277px;left:134px;,"1st quarter, 3:09.0 remaining<br>Sandro Mamukelashvili made 3-pointer from 27 ft<br>Toronto now leads 28-20"
top:34px;left:244px;,"1st quarter, 2:45.0 remaining<br>Scottie Barnes made 2-pointer from 1 ft<br>Toronto now leads 30-20"
top:33px;left:250px;,"1st quarter, 2:23.0 remaining<br>Scottie Barnes made 2-pointer from 1 ft<br>Toronto now leads 32-20"
top:51px;left:478px;,"1st quarter, 1:57.0 remaining<br>A.J. Lawson made 3-pointer from 24 ft<br>Toronto now leads 35-20"
top:38px;left:99px;,"1st quarter, 1:00.0 remaining<br>Scottie Barnes missed 2-pointer from 14 ft<br>Toronto leads 35-20"
top:39px;left:255px;,"1st quarter, 0:49.0 remaining<br>Ja'Kobe Walter missed 2-pointer from 2 ft<br>Toronto leads 35-20"
top:37px;left:240px;,"1st quarter, 0:38.0 remaining<br>Sandro Mamukelashvili made 2-pointer from 1 ft<br>Toronto now leads 37-20"
top:113px;left:16px;,"1st quarter, 0:00.0 remaining<br>Sandro Mamukelashvili missed 3-pointer from 24 ft<br>Toronto leads 38-20"
top:13px;left:10px;,"2nd quarter, 11:36.0 remaining<br>A.J. Lawson made 3-pointer from 23 ft<br>Toronto now leads 41-20"
top:31px;left:242px;,"2nd quarter, 11:15.0 remaining<br>RJ Barrett made 2-pointer from 0 ft<br>Toronto now leads 43-20"
top:41px;left:478px;,"2nd quarter, 10:28.0 remaining<br>RJ Barrett missed 3-pointer from 24 ft<br>Toronto leads 43-20"
top:31px;left:238px;,"2nd quarter, 10:06.0 remaining<br>Jakob Poeltl made 2-pointer from 0 ft<br>Toronto now leads 45-20"
top:48px;left:197px;,"2nd quarter, 9:24.0 remaining<br>Jakob Poeltl missed 2-pointer from 5 ft<br>Toronto leads 45-22"
top:30px;left:240px;,"2nd quarter, 9:20.0 remaining<br>Ja'Kobe Walter missed 2-pointer from 0 ft<br>Toronto leads 45-22"
top:38px;left:231px;,"2nd quarter, 9:08.0 remaining<br>Sandro Mamukelashvili missed 2-pointer from 1 ft<br>Toronto leads 45-23"
top:73px;left:210px;,"2nd quarter, 8:38.0 remaining<br>Sandro Mamukelashvili made 2-pointer from 5 ft<br>Toronto now leads 47-23"
top:32px;left:243px;,"2nd quarter, 7:27.0 remaining<br>Sandro Mamukelashvili made 2-pointer from 0 ft<br>Toronto now leads 50-27"
top:26px;left:473px;,"2nd quarter, 6:55.0 remaining<br>Ja'Kobe Walter missed 3-pointer from 23 ft<br>Toronto leads 50-27"
top:262px;left:365px;,"2nd quarter, 6:41.0 remaining<br>RJ Barrett missed 3-pointer from 26 ft<br>Toronto leads 50-27"
