date,team,pts,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,ortg,drtg,pace,ftr,3ptar,ts,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate,ast_tov,ast_ratio,elo
2000-10-31,Atlanta Hawks,82.0,30.0,81.0,0.37,6.0,15.0,0.4,24.0,66.0,0.36,16.0,21.0,0.76,11.0,18.0,29.0,14.0,9.0,2.0,13.0,31.0,92.8,119.9,88.4,0.26,0.18,0.45,60.3,46.7,10.2,3.8,0.41,12.6,22.9,0.2,1.08,0.25,1500.0
2000-11-02,Atlanta Hawks,82.0,30.0,81.0,0.37,6.0,15.0,0.4,24.0,66.0,0.36,16.0,21.0,0.76,11.0,18.0,29.0,14.0,9.0,2.0,13.0,31.0,92.8,119.9,88.4,0.26,0.18,0.45,60.3,46.7,10.2,3.8,0.41,12.6,22.9,0.2,1.08,0.25,1461.86
2000-11-04,Atlanta Hawks,79.35,29.18,80.39,0.36,5.59,15.0,0.37,23.59,65.39,0.36,15.39,19.78,0.78,11.61,19.63,31.24,15.22,8.39,1.8,13.82,28.96,90.27,117.8,87.87,0.25,0.19,0.44,57.67,52.86,9.55,3.39,0.4,13.44,24.18,0.19,1.1,0.26,1437.93
2000-11-06,Atlanta Hawks,83.44,30.79,81.63,0.38,5.7,15.15,0.38,25.09,66.47,0.38,16.17,21.33,0.77,13.3,19.51,32.8,16.59,9.47,1.7,14.52,28.58,93.87,117.62,88.72,0.26,0.19,0.46,56.51,53.9,10.63,3.18,0.41,13.72,27.69,0.2,1.13,0.27,1427.52
2000-11-07,Atlanta Hawks,83.82,30.9,81.38,0.38,5.5,14.35,0.39,25.4,67.03,0.38,16.52,21.66,0.77,12.99,21.02,34.01,16.48,9.64,2.66,15.39,29.69,93.21,115.43,89.83,0.27,0.18,0.46,56.11,53.35,10.69,4.39,0.41,14.4,27.27,0.2,1.08,0.26,1421.45
2000-11-09,Atlanta Hawks,84.23,30.88,81.67,0.38,5.23,14.11,0.37,25.64,67.56,0.38,17.24,22.59,0.77,13.26,21.93,35.19,16.68,9.43,2.45,15.37,28.41,93.27,114.23,90.22,0.28,0.17,0.46,55.38,54.0,10.42,4.05,0.41,14.3,27.72,0.21,1.09,0.27,1414.99
2000-11-10,Atlanta Hawks,83.64,31.08,81.58,0.38,4.92,13.39,0.36,26.16,68.2,0.38,16.57,21.87,0.76,13.07,22.89,35.96,16.75,9.38,3.22,15.9,27.49,92.22,112.12,90.67,0.27,0.16,0.46,55.27,53.88,10.32,5.05,0.41,14.78,27.44,0.2,1.07,0.26,1409.7
2000-11-14,Atlanta Hawks,85.78,31.64,80.45,0.39,5.04,13.37,0.37,26.6,67.08,0.4,17.47,22.45,0.78,12.26,22.25,34.51,17.02,9.53,3.28,15.97,27.11,94.43,113.46,90.78,0.28,0.17,0.48,55.58,53.79,10.47,5.22,0.43,14.97,26.58,0.22,1.08,0.26,1394.96
2000-11-15,Atlanta Hawks,86.96,32.11,79.96,0.4,5.13,13.62,0.37,26.98,66.33,0.41,17.6,23.13,0.76,11.95,22.28,34.23,16.54,9.48,3.15,16.22,27.13,95.56,112.73,90.91,0.29,0.17,0.48,55.25,51.76,10.4,5.01,0.44,15.2,26.85,0.22,1.04,0.26,1406.63
2000-11-17,Atlanta Hawks,85.8,31.66,79.01,0.4,5.13,13.75,0.37,26.53,65.25,0.41,17.37,23.11,0.75,12.12,22.84,34.96,16.56,9.35,3.05,16.88,26.79,94.89,111.63,90.31,0.29,0.17,0.48,54.5,52.71,10.32,4.9,0.43,15.89,27.46,0.22,1.01,0.26,1387.37
