date,home_team,away_team,winning_team,home_pts,home_fg,home_fga,home_fg_pct,home_fg3,home_fg3a,home_fg3_pct,home_fg2,home_fg2a,home_fg2_pct,home_ft,home_fta,home_ft_pct,home_orb,home_drb,home_trb,home_ast,home_stl,home_blk,home_tov,home_pf,home_ortg,home_drtg,home_pace,home_ftr,home_3ptar,home_ts,home_trb_pct,home_ast_pct,home_stl_pct,home_blk_pct,home_efg_pct,home_tov_pct,home_orb_pct,home_ft_rate,home_ast_tov,home_ast_ratio,home_elo,away_pts,away_fg,away_fga,away_fg_pct,away_fg3,away_fg3a,away_fg3_pct,away_fg2,away_fg2a,away_fg2_pct,away_ft,away_fta,away_ft_pct,away_orb,away_drb,away_trb,away_ast,away_stl,away_blk,away_tov,away_pf,away_ortg,away_drtg,away_pace,away_ftr,away_3ptar,away_ts,away_trb_pct,away_ast_pct,away_stl_pct,away_blk_pct,away_efg_pct,away_tov_pct,away_orb_pct,away_ft_rate,away_ast_tov,away_ast_ratio,away_elo
2000-11-01,Philadelphia 76ers,Toronto Raptors,0,101.0,38.0,66.0,0.58,3.0,8.0,0.38,35.0,58.0,0.6,22.0,30.0,0.73,8.0,29.0,37.0,27.0,10.0,5.0,14.0,24.0,118.7,84.6,85.1,0.46,0.12,0.64,50.0,71.1,11.8,8.5,0.6,15.0,25.8,0.33,1.93,0.34,1500.0,95.0,35.0,93.0,0.38,5.0,17.0,0.29,30.0,76.0,0.4,20.0,31.0,0.64,20.0,28.0,48.0,27.0,7.0,7.0,15.0,21.0,97.5,106.8,97.4,0.33,0.18,0.44,48.4,77.1,7.2,8.6,0.4,12.3,37.0,0.22,1.8,0.35,1500.0
2000-11-01,Charlotte Hornets,Washington Wizards,1,106.0,35.0,62.0,0.56,5.0,9.0,0.56,30.0,53.0,0.57,31.0,40.0,0.78,7.0,37.0,44.0,16.0,7.0,6.0,17.0,23.0,119.9,92.8,88.4,0.64,0.14,0.67,39.7,45.7,7.9,9.1,0.6,17.6,28.0,0.5,0.94,0.24,1500.0,86.0,33.0,72.0,0.46,4.0,7.0,0.57,29.0,65.0,0.45,16.0,24.0,0.67,9.0,35.0,44.0,20.0,6.0,1.0,27.0,28.0,87.3,98.5,98.5,0.33,0.1,0.52,45.7,60.6,6.1,1.6,0.49,24.6,23.7,0.22,0.74,0.25,1500.0
2000-11-01,Cleveland Cavaliers,Sacramento Kings,0,86.0,32.0,78.0,0.41,2.0,7.0,0.29,30.0,71.0,0.42,20.0,32.0,0.62,11.0,41.0,52.0,16.0,5.0,8.0,19.0,27.0,88.0,84.0,97.7,0.41,0.09,0.47,47.5,50.0,5.1,10.7,0.42,17.1,23.9,0.26,0.84,0.24,1500.0,100.0,40.0,73.0,0.55,5.0,13.0,0.38,35.0,60.0,0.58,15.0,19.0,0.79,5.0,32.0,37.0,29.0,12.0,6.0,18.0,23.0,109.4,88.6,91.4,0.26,0.18,0.62,43.9,72.5,13.1,10.2,0.58,18.1,18.5,0.2,1.61,0.33,1500.0
2000-11-01,Los Angeles Lakers,Utah Jazz,1,96.0,36.0,63.0,0.57,5.0,11.0,0.46,31.0,52.0,0.6,19.0,30.0,0.63,8.0,31.0,39.0,28.0,5.0,8.0,20.0,18.0,111.8,100.2,85.9,0.48,0.18,0.63,45.1,77.8,5.8,10.8,0.61,20.8,29.6,0.3,1.4,0.33,1500.0,107.0,43.0,85.0,0.51,5.0,10.0,0.5,38.0,75.0,0.51,16.0,31.0,0.52,11.0,22.0,33.0,33.0,11.0,4.0,12.0,30.0,111.9,98.3,95.6,0.36,0.12,0.54,57.1,76.7,11.5,7.1,0.54,10.8,25.6,0.19,2.75,0.38,1500.0
2000-11-02,New York Knicks,Atlanta Hawks,0,72.0,25.0,70.0,0.36,3.0,11.0,0.27,22.0,59.0,0.37,19.0,24.0,0.79,14.0,23.0,37.0,14.0,6.0,4.0,22.0,30.0,84.6,118.7,85.1,0.34,0.16,0.45,50.0,56.0,7.1,6.9,0.38,21.5,32.6,0.27,0.64,0.23,1500.0,82.0,30.0,81.0,0.37,6.0,15.0,0.4,24.0,66.0,0.36,16.0,21.0,0.76,11.0,18.0,29.0,14.0,9.0,2.0,13.0,31.0,92.8,119.9,88.4,0.26,0.18,0.45,60.3,46.7,10.2,3.8,0.41,12.6,22.9,0.2,1.08,0.25,1500.0
2000-11-02,Dallas Mavericks,Indiana Pacers,0,97.0,35.0,88.0,0.4,9.0,25.0,0.36,26.0,63.0,0.41,18.0,27.0,0.67,20.0,32.0,52.0,22.0,9.0,9.0,18.0,26.0,101.8,97.6,95.3,0.31,0.28,0.49,49.5,62.9,9.4,14.1,0.45,15.3,37.0,0.2,1.22,0.29,1500.0,85.0,36.0,80.0,0.45,4.0,17.0,0.24,32.0,63.0,0.51,9.0,13.0,0.69,9.0,26.0,35.0,19.0,5.0,4.0,17.0,32.0,93.1,107.4,91.3,0.16,0.21,0.5,51.4,52.8,5.5,7.1,0.48,16.5,22.0,0.11,1.12,0.26,1500.0
2000-11-02,San Antonio Spurs,Minnesota Timberwolves,0,98.0,33.0,64.0,0.52,4.0,8.0,0.5,29.0,56.0,0.52,28.0,35.0,0.8,5.0,32.0,37.0,17.0,6.0,4.0,18.0,22.0,107.4,93.1,91.3,0.55,0.12,0.62,48.6,51.5,6.6,6.3,0.55,18.5,16.1,0.44,0.94,0.25,1500.0,106.0,43.0,88.0,0.49,6.0,11.0,0.55,37.0,77.0,0.48,14.0,16.0,0.88,13.0,31.0,44.0,29.0,7.0,1.0,16.0,25.0,110.7,102.3,95.8,0.18,0.12,0.56,46.3,67.4,7.3,1.5,0.52,14.4,32.5,0.16,1.81,0.33,1500.0
2000-11-02,Houston Rockets,Milwaukee Bucks,0,98.0,34.0,74.0,0.46,2.0,9.0,0.22,32.0,65.0,0.49,28.0,40.0,0.7,11.0,27.0,38.0,18.0,9.0,7.0,18.0,17.0,102.3,110.7,95.8,0.54,0.12,0.54,53.7,52.9,9.4,9.1,0.47,16.4,26.2,0.38,1.0,0.26,1500.0,93.0,33.0,83.0,0.4,6.0,19.0,0.32,27.0,64.0,0.42,21.0,26.0,0.81,17.0,34.0,51.0,16.0,6.0,7.0,20.0,27.0,97.6,101.8,95.3,0.31,0.23,0.49,50.5,48.5,6.3,11.1,0.43,17.5,34.7,0.25,0.8,0.23,1500.0
2000-11-02,Denver Nuggets,Golden State Warriors,0,99.0,39.0,88.0,0.44,7.0,25.0,0.28,32.0,63.0,0.51,14.0,26.0,0.54,11.0,22.0,33.0,20.0,11.0,5.0,13.0,26.0,98.4,111.3,100.6,0.3,0.28,0.5,58.8,51.3,10.9,7.5,0.48,11.6,22.9,0.16,1.54,0.28,1500.0,96.0,32.0,79.0,0.4,4.0,8.0,0.5,28.0,71.0,0.39,28.0,38.0,0.74,14.0,41.0,55.0,18.0,11.0,5.0,21.0,22.0,94.7,92.7,101.4,0.48,0.1,0.5,44.4,56.3,10.8,7.1,0.43,18.0,29.8,0.35,0.86,0.25,1500.0
2000-11-02,Phoenix Suns,Portland Trail Blazers,0,94.0,36.0,91.0,0.4,6.0,21.0,0.29,30.0,70.0,0.43,16.0,20.0,0.8,11.0,33.0,44.0,25.0,12.0,3.0,16.0,28.0,92.7,94.7,101.4,0.22,0.23,0.47,55.6,69.4,11.8,4.2,0.43,13.8,21.2,0.18,1.56,0.32,1500.0,86.0,34.0,85.0,0.4,4.0,11.0,0.36,30.0,74.0,0.4,14.0,16.0,0.88,13.0,19.0,32.0,18.0,13.0,1.0,10.0,28.0,100.2,111.8,85.9,0.19,0.13,0.47,54.9,52.9,15.1,1.9,0.42,9.8,29.5,0.16,1.8,0.29,1500.0
