date,home_team,away_team,winning_team
2000-10-31,Atlanta Hawks,Charlotte Hornets,1
2000-10-31,New Jersey Nets,Cleveland Cavaliers,1
2000-10-31,Orlando Magic,Washington Wizards,0
2000-10-31,Dallas Mavericks,Milwaukee Bucks,0
2000-10-31,New York Knicks,Philadelphia 76ers,1
2000-10-31,Toronto Raptors,Detroit Pistons,1
2000-10-31,Chicago Bulls,Sacramento Kings,1
2000-10-31,Houston Rockets,Minnesota Timberwolves,1
2000-10-31,San Antonio Spurs,Indiana Pacers,0
2000-10-31,Utah Jazz,Los Angeles Clippers,0
2000-10-31,Golden State Warriors,Phoenix Suns,0
2000-10-31,Portland Trail Blazers,Los Angeles Lakers,1
2000-10-31,Vancouver Grizzlies,Seattle SuperSonics,0
2000-11-01,Boston Celtics,Detroit Pistons,0
2000-11-01,Philadelphia 76ers,Toronto Raptors,0
2000-11-01,Charlotte Hornets,Washington Wizards,1
2000-11-01,Cleveland Cavaliers,Sacramento Kings,0
2000-11-01,Miami Heat,Orlando Magic,0
2000-11-01,Seattle SuperSonics,Denver Nuggets,0
2000-11-01,Los Angeles Lakers,Utah Jazz,1
2000-11-02,New York Knicks,Atlanta Hawks,0
2000-11-02,Dallas Mavericks,Indiana Pacers,0
2000-11-02,San Antonio Spurs,Minnesota Timberwolves,0
2000-11-02,Houston Rockets,Milwaukee Bucks,0
2000-11-02,Denver Nuggets,Golden State Warriors,0
2000-11-02,Phoenix Suns,Portland Trail Blazers,0
2000-11-02,Los Angeles Clippers,Vancouver Grizzlies,1
2000-11-03,Washington Wizards,New York Knicks,1
2000-11-03,Boston Celtics,Toronto Raptors,0
2000-11-03,Charlotte Hornets,Miami Heat,0
2000-11-03,Orlando Magic,Philadelphia 76ers,1
2000-11-03,Detroit Pistons,Sacramento Kings,1
2000-11-03,Chicago Bulls,New Jersey Nets,1
2000-11-04,Vancouver Grizzlies,Los Angeles Lakers,1
2000-11-04,Indiana Pacers,Chicago Bulls,0
2000-11-04,Toronto Raptors,Washington Wizards,0
2000-11-04,Atlanta Hawks,Orlando Magic,1
2000-11-04,Cleveland Cavaliers,Boston Celtics,0
2000-11-04,Miami Heat,Philadelphia 76ers,1
2000-11-04,Dallas Mavericks,Utah Jazz,1
2000-11-04,Minnesota Timberwolves,Sacramento Kings,0
2000-11-04,New Jersey Nets,Charlotte Hornets,1
2000-11-04,Milwaukee Bucks,Detroit Pistons,0
2000-11-04,Denver Nuggets,Phoenix Suns,1
2000-11-04,Seattle SuperSonics,Portland Trail Blazers,1
2000-11-04,Golden State Warriors,San Antonio Spurs,1
2000-11-04,Los Angeles Clippers,Houston Rockets,0
2000-11-05,Phoenix Suns,Houston Rockets,0
2000-11-05,Los Angeles Lakers,Los Angeles Clippers,0
2000-11-06,Orlando Magic,Seattle SuperSonics,0
2000-11-06,Denver Nuggets,Dallas Mavericks,1
2000-11-06,Utah Jazz,Minnesota Timberwolves,0
2000-11-06,Vancouver Grizzlies,Atlanta Hawks,0
2000-11-06,Sacramento Kings,Portland Trail Blazers,0
2000-11-07,Toronto Raptors,Boston Celtics,0
2000-11-07,Milwaukee Bucks,New York Knicks,1
2000-11-07,Chicago Bulls,Washington Wizards,1
2000-11-07,Houston Rockets,Los Angeles Lakers,0
2000-11-07,Phoenix Suns,San Antonio Spurs,0
2000-11-07,Portland Trail Blazers,Atlanta Hawks,0
2000-11-08,Indiana Pacers,Milwaukee Bucks,0
2000-11-08,Philadelphia 76ers,Detroit Pistons,0
2000-11-08,Washington Wizards,New Jersey Nets,1
2000-11-08,Miami Heat,Seattle SuperSonics,0
2000-11-08,New York Knicks,Cleveland Cavaliers,1
