test_season,n_games,accuracy,log_loss,auc
2009,1315,0.6988593155893537,0.6187163565609863,0.7496334185848252
2010,1312,0.6753048780487805,0.6613724781692673,0.7284682514343211
2011,1311,0.6788710907704043,0.6544028975530338,0.7202666614590708
2012,1074,0.6731843575418994,0.663795179144001,0.718143902517881
2013,1314,0.6742770167427702,0.6680981353409505,0.7136168695414313
2014,1319,0.6785443517816527,0.6834438022502504,0.728774586104429
2015,1311,0.6750572082379863,0.656026868256832,0.7339010910476915
2016,1316,0.6671732522796353,0.6759711312874292,0.725923637652423
2017,1309,0.6508785332314744,0.709522869462694,0.6877181359488043
2018,1312,0.6570121951219512,0.6777163461354395,0.7058345713327263
2019,1312,0.645579268292683,0.6863510795061429,0.6966204120862618
2020,1143,0.6719160104986877,0.6765890497286611,0.7143166023166023
2021,1172,0.6399317406143344,0.7028959032558483,0.6979382048872181
2022,1323,0.6432350718065004,0.7125235173161311,0.6946534425095144
2023,1320,0.5068181818181818,0.797687048591392,0.4906507352334428
2024,1319,0.6421531463229719,0.6787886924866608,0.67622043736689
2025,1174,0.6431005110732538,0.6794532123304411,0.7059052308987976
2026,1087,0.5804967801287948,0.7356213360812193,0.6248932871650924
